1.1.1	vqxXirAxEc
5.1.103	karmaNa ukaF
5.1.104	samayaswaxasya prApwam
5.1.105	qworaN
5.1.106	Canxasi Gas
5.1.107	kAlAxyaw‌
5.1.108	prakqRte TaF
5.1.109	prayojanam
5.1.110	viSAKAZZRADAxaN manWaxaNdayoH
5.1.111	anupravacanAxiByaSCaH
5.1.112	samApanAw‌ sapUrvapaxAw‌
5.1.113	EkAgArikat cOre
5.1.114	AkAlikadAxyanwavacane
5.1.115	wena wulyaM kriyA cexvawiH
5.1.116	wawra wasyeva
5.1.117	waxarham
5.1.118	upasargAcCanxasi XAwvarWe
5.1.119	wasya BAvaswvawalO
5.1.120	A ca wvAw‌
5.1.121	na naFpUrvAwwawpuruRAxacawurasaMgawalavaNavatayuXakawarasalaseByaH
5.1.122	pqWvAxiBya imanijvA
5.1.123	varNaxqDAxiByaH RyaF ca
5.1.124	guNavacanabrAhmaNAxiByaH karmaNi ca
5.1.125	swenAxyannalopaSca
5.1.126	saKyuryaH
5.1.127	kapijFAwyorDak
5.1.128	pawyanwapurohiwAxiByo yak
5.1.129	prANaBqjjAwivayovacanoxgAwrAxiByoZF
5.1.130	hAyanAnwayuvAxiByoZN
5.1.131	iganwAcca laGupUrvAw‌
5.1.132	yopaXAxgurUpowwamAxvuF
5.1.133	xvaMxvamanojFAxiByaSca
5.1.134	gowracaraNAcSlAGAZwyAkArawaxaveweRu
5.1.135	howrAByaSCaH
5.1.136	brahmaNaswvaH
5.2.1	XAnyAnAM Bavane kRewre KaF
5.2.2	vrIhiSAlyorDak
5.2.3	yavayavakaRaRtikAxaw‌
5.2.4	viBARA wilamARomABafgAZNuByaH
5.2.5	sarvacarmaNaH kqwaH KaKaFO
5.2.6	yaWAmuKasaMmuKasya xarSanaH KaH
5.2.7	wawsarvAxeH paWyafgakarmapawrapAwraM vyApnowi
5.2.8	AprapaxaM prApnowi
5.2.9	anupaxasarvAnnAyAnayaM baxXABakRayawineyeRu
5.2.10	parovaraparamparapuwrapOwramanuBavawi
5.2.11	avArapArAwyanwAnukAmaM gAmI
5.2.12	samAMsamAM vijAyawe
5.2.13	axyaSvInAZvaRtabXe
5.2.14	AgavInaH
5.2.15	anugvalaMgAmI
5.2.16	aXvano yawKO
5.2.17	aByamiwrAcCa ca
5.2.18	goRTAw‌ KaF BUwapUrve
5.2.19	aSvasyEkAhagamaH
5.2.20	SAlInakOpIne aXqRtAkAryayoH
5.2.21	vrAwena jIvawi
5.2.22	sApwapaxInaM saKyam
5.2.23	hEyaMgavInaM saMjFAyAm
5.2.24	wasya pAkamUle pIlvaxikarNAxiByaH kuNabjAhacO
5.2.25	pakRAwwiH
5.2.26	wena viwwaScuFcupcaNapO
5.2.27	vinaFByAM nAnAFO nasaha
5.2.28	veH SAlacCafkatacO
5.2.29	samproxaSca katac
5.2.30	avAw‌ kutAracca
5.2.31	nawe nAsikAyAH saMjFAyAM tItaFnAtajBrAtacaH
5.2.32	nerbidajbirIsacO
5.2.33	inacpitaccikaci ca
5.2.34	upAXiByAM wyakannAsannArUDayoH
5.2.35	karmaNi GatoZTac
5.2.36	waxasya saMjAwaM wArakAZZxiBya iwac
5.2.37	pramANe xvayasajxaGnaFmAwracaH
5.2.38	puruRahaswiByAmaN ca
5.2.39	yaxwaxeweByaH parimANe vawup‌
5.2.40	kimixaMByAM vo GaH
5.2.41	kimaH saMKyAparimANe dawi ca
5.2.42	saMKyAyA avayave wayap‌
5.2.43	xviwriByAM wayasyAyajvA
5.2.44	uBAxuxAwwo niwyam
5.2.45	waxasminnaXikamiwi xaSAnwAddaH
5.2.46	SaxanwaviMSaweSca
5.2.47	saMKyAyA guNasya nimAne mayat
5.2.48	wasya pUraNe dat
5.2.49	nAnwAxasaMKyAZZxermat
5.2.50	Wat ca cCanxasi
5.2.51	RatkawikawipayacawurAM Wuk
5.2.52	bahupUgagaNasaMGasya wiWuk
5.2.53	vaworiWuk
5.2.54	xveswIyaH
5.2.55	wreH samprasAraNam ca
5.2.56	viMSawyAxiByaswamadanyawarasyAm
5.2.57	niwyaM SawAximAsArXamAsasaMvawsarAcca
5.2.58	RaRtyAxeScAsaMKyAZZxeH
5.2.59	mawO cCaH sUkwasAmnoH
5.2.60	aXyAyAnuvAkayorluk
5.2.61	vimukwAxiByoZN
5.2.62	goRaxAxiByo vun
5.2.63	wawra kuSalaH paWaH
5.2.64	AkarRAxiByaH kan
5.2.65	XanahiraNyAw‌ kAme
5.2.66	svAfgeByaH prasiwe
5.2.67	uxarAtTagAxyUne
5.2.68	sasyena parijAwaH
5.2.69	aMSaM hArI
5.2.70	wanwrAxacirApahqwe
5.2.71	brAhmaNakoRNike saMjFAyAm
5.2.72	SIwoRNAByAM kAriNi
5.2.73	aXikam
5.2.74	anukABikABIkaH kamiwA
5.2.75	pArSvenAnvicCawi
5.2.76	ayaHSUlaxaNdAjinAByAM TakTaFO
5.2.77	wAvawiWaM grahaNamiwi lugvA
5.2.78	sa eRAM grAmaNIH
5.2.79	SqfKalamasya banXanaM karaBe
5.2.80	uwka unmanAH
5.2.81	kAlaprayojanAxroge
5.2.82	waxasminnannaM prAye saMjFAyAm‌
5.2.83	kulmARAxaF
5.2.84	SrowriyaMSCanxoZXIwe
5.2.85	SrAxXamanena BukwaminiTanO
5.2.86	pUrvAxiniH
5.2.87	sapUrvAcca
5.2.88	iRtAxiByaSca
5.2.89	Canxasi paripanWiparipariNO paryavasWAwari
5.2.90	anupaxyanveRtA
5.2.91	sAkRAxxraRtari saMjFAyAm
5.2.92	kRewriyac parakRewre cikiwsyaH
5.2.93	ZinxriyaminxraliMgaminxraxqRtaminxrasqRtaminxrajuRtaminxraxawwamiwi vA
5.2.94	waxasyAswyasminniwi mawup‌
5.2.95	rasAxiByaSca
5.2.96	prANisWAxAwo lajanyawarasyAm
5.2.97	siXmAxiByaSca
5.2.98	vawsAMsAByAM kAmabale
5.2.99	PenAxilac ca
5.2.100	lomAxipAmAxipicCAxiByaH SanelacaH
5.2.101	prajFASraxXAZrcAvqwwiByo NaH
5.2.102	wapaHsahasrAByAM vinInI
5.2.103	aN ca
5.2.104	sikawASarkarAByAM ca
5.2.105	xeSe lubilacO ca
5.2.106	xanwa unnawa urac
5.2.107	URasuRimuRkamaXo raH
5.2.108	xyuxruByAM maH
5.2.109	keSAxvoZnyawarasyAm
5.2.110	gANdyajagAw‌ saMjFAyAm
5.2.111	kANdANdAxIrannIracO
5.2.112	rajaHkqRyAsuwipariRaxo valac
5.2.113	xanwaSiKAw‌ saMjFAyAm
5.2.114	jyowsnAwamisrASqfgiNojasvinnUrjasvalagominmalinamalImasAH
5.2.115	awa iniTanO
5.2.116	vrIhyAxiByaSca
5.2.117	wunxAxiBya ilac ca
5.2.118	ekagopUrvAtTaF niwyam
5.2.119	SawasahasrAnwAcca niRkAw‌
5.2.120	rUpAxAhawapraSaMsayorap‌
5.2.121	asmAyAmeXAsrajo viniH
5.2.122	bahulaM Canxasi
5.2.123	UrNAyA yus
5.2.124	vAco gminiH
5.2.125	AlajAtacO bahuBARiNi
5.2.126	svAminnESvarye
5.2.127	arSaAxiByoZc
5.2.128	xvaMxvopawApagarhyAw‌ prANisWAxiniH
5.2.129	vAwAwisArAByAM kuk ca
5.2.130	vayasi pUraNAw‌
5.2.131	suKAxiByaSca
5.2.132	XarmaSIlavarNAnwAcca
5.2.133	haswAjjAwO
5.2.134	varNAxbrahmacAriNi
5.2.135	puRkarAxiByo xeSe
5.2.136	balAxiByo mawubanyawarasyAm
5.2.137	saMjFAyAM manmAByAm.h
5.2.138	kaMSaMByAM baBayuswiwuwayasaH
5.2.139	wunxivalivaterBaH
5.2.140	ahaMSuBamoryus
5.3.1	prAgxiSo viBakwiH
5.3.2	kiMsarvanAmabahuByoZxvyAxiByaH
5.3.3	ixama iS
5.3.4	ewewO raWoH
5.3.5	ewaxoZS
5.3.6	sarvasya soZnyawarasyAM xi
5.3.7	paFcamyAswasil
5.3.8	waseSca
5.3.9	paryaBiByAM ca
5.3.10	sapwamyAswral
5.3.11	ixamo haH
5.3.12	kimoZw‌
5.3.13	vA ha ca cCanxasi
5.3.14	iwarAByoZpi xqSyanwe
5.3.15	sarvEkAnyakiMyawwaxaH kAle xA
5.3.16	ixamo rhil
5.3.17	aXunA
5.3.18	xAnIM ca
5.3.19	waxo xA ca
5.3.20	wayorxArhilO ca cCanxasi
5.3.21	anaxyawane rhilanyawarasyAm
5.3.22	saxyaHparuwparAryERamaHparexyavyaxyapUrvexyuranyexyuranyawarexyuriwarexyuraparexyuraXarexyuruBayexyuruwwarexyuH
5.3.23	prakAravacane WAl
5.3.24	ixamasWamuH
5.3.25	kimaSca
5.3.26	WA hewO ca cCanxasi
5.3.27	xik‌SabxeByaH sapwamIpaFcamIpraWamAByo xigxeSakAleRvaswAwiH
5.3.28	xakRiNowwarAByAmawasuc
5.3.29	viBARA parAvarAByAm
5.3.30	aFcerluk
5.3.31	uparyupariRtAw‌
5.3.32	paScAw‌
5.3.33	paSca paScA ca cCanxasi
5.3.34	uwwarAXaraxakRiNAxAwiH
5.3.35	enabanyawarasyAmaxUreZpaFcamyAH
5.3.36	xakRiNAxAc
5.3.37	Ahi ca xUre
5.3.38	uwwarAcca
5.3.39	pUrvAXarAvarANAmasi puraXavaScERAm‌
5.3.40	aswAwi ca
5.3.41	viBARAZvarasya
5.3.42	saMKyAyA viXAZrWe XA
5.3.43	aXikaraNavicAle ca
5.3.44	ekAxXo XyamuFanyArayAm
5.3.45	xviwryoSca XamuF
5.3.46	eXAcca
5.3.47	yApye pASap‌
5.3.48	pUraNAxBAge wIyAxan
5.3.49	prAgekAxaSaByoZcCanxasi
5.3.50	RaRTARtamAByAM Fa ca
5.3.51	mAnapaSvafgayoH kanlukO ca
5.3.52	ekAxAkiniccAsahAye
5.3.53	BUwapUrve carat
5.3.54	RaRTyA rUpya ca
5.3.55	awiSAyane wamabiRTanO
5.3.56	wifaSca
5.3.57	xvivacanaviBajyopapaxe warabIyasunO
5.3.58	ajAxI guNavacanAxeva
5.3.59	wuSCanxasi
5.3.60	praSasyasya SraH
5.3.61	jya ca
5.3.62	vqxXasya ca
5.3.63	anwikabADayornexasAXO
5.3.64	yuvAlpayoH kananyawarasyAm
5.3.65	vinmaworluk
5.3.66	praSaMsAyAM rUpap‌
5.3.67	IRaxasamApwO kalpabxeSyaxeSIyaraH
5.3.68	viBARA supo bahuc puraswAwwu
5.3.69	prakAravacane jAwIyar.
5.3.70	prAgivAwkaH
5.3.71	avyayasarvanAmnAmakac prAk teH
5.3.72	kasya ca xaH
5.3.73	ajFAwe
5.3.74	kuwsiwe
5.3.75	saMjFAyAM kan
5.3.76	anukampAyAm
5.3.77	nIwO ca waxyukwAw‌
5.3.78	bahvaco manuRyanAmnaRTajvA
5.3.79	GanilacO ca
5.3.80	prAcAmupAxeradajvucO ca
5.3.81	jAwinAmnaH kan
5.3.82	ajinAnwasyowwarapaxalopaSca
5.3.83	TAjAxAvUrXvaM xviwIyAxacaH
5.3.84	SevalasupariviSAlavaruNAryamAxInAM wqwIyAw‌
5.3.85	alpe
5.3.86	hrasve
5.3.87	saMjFAyAM kan
5.3.88	kutISamISuNdAByo raH
5.3.89	kuwvA dupac
5.3.90	kAsUgoNIByAM Rtarac
5.3.91	vawsokRASvarRaBeByaSca wanuwve
5.3.92	kiMyawwaxo nirxXAraNe xvayorekasya dawarac
5.3.93	vA bahUnAM jAwiparipraSne dawamac
5.3.94	ekAcca prAcAm
5.3.95	avakRepaNe kan
5.3.96	ive prawikqwO
5.3.97	saMjFAyAM ca
5.3.98	lummanuRye
5.3.99	jIvikAZrWe cApaNye
5.3.100	xevapaWAxiByaSca
5.3.101	vaswerDaF
5.3.102	SilAyA DaH
5.3.103	SAKAZZxiByo yaw‌
5.3.104	xravyaM ca Bavye
5.3.105	kuSAgrAcCaH
5.3.106	samAsAcca waxviRayAw‌
5.3.107	SarkarAZZxiByoZN
5.3.108	afgulyAxiByaRTak
5.3.109	ekaSAlAyARTajanyawarasyAm
5.3.110	karkalohiwAxIkak
5.3.111	prawnapUrvaviSvemAwWAl Canxasi
5.3.112	pUgAFFyoZgrAmaNIpUrvAw‌
5.3.113	vrAwacPaForaswriyAm
5.3.114	AyuXajIvisaMGAFFyadvAhIkeRvabrAhmaNarAjanyAw‌
5.3.115	vqkAtteNyaN
5.3.116	xAmanyAxiwrigarwaRaRTAcCaH
5.3.117	parSvAxiyOXeyAxiByAmaNaFO
5.3.118	ZaBijixvixaBqcCAlAvacCiKAvacCamIvaxUrNAvacCrumaxaNo yaF
5.3.119	FyAxayaswaxrAjAH
5.4.1	pAxaSawasya saMKyAZZxervIpsAyAM vun lopaSca
5.4.2	xaNdavyavasargayoSca
5.4.3	sWUlAxiByaH prakAravacane kan
5.4.4	anawyanwagawO kwAw‌
5.4.5	na sAmivacane
5.4.6	bqhawyA AcCAxane
5.4.7	aRadakRASiwafgvalaMkarmAlampuruRAXyuwwarapaxAw‌ KaH
5.4.8	viBARA aFceraxikswriyAm
5.4.9	jAwyanwAcCa banXuni
5.4.10	sWAnAnwAxviBARA sasWAnenewi cew‌
5.4.11	kimewwifavyayaGAxAmvaxravyaprakarRe
5.4.12	amu ca cCanxasi
5.4.13	anugAxinaRTak
5.4.14	NacaH swriyAmaF
5.4.15	aNinuNaH
5.4.16	visAriNo mawsye
5.4.17	saMKyAyAH kriyAZByAvqwwigaNane kqwvasuc
5.4.18	xviwricawurByaH suc
5.4.19	ekasya sakqcca
5.4.20	viBARA bahorXAZviprakqRtakAle
5.4.21	wawprakqwavacane mayat
5.4.22	samUhavacca bahuRu
5.4.23	ananwAvasaWewihaBeRajAFFyaH
5.4.24	xevawAnwAwwAxarWye yaw‌
5.4.25	pAxArGAByAM ca
5.4.26	awiWerFyaH
5.4.27	xevAwwal
5.4.28	aveH kaH
5.4.29	yAvAxiByaH kan
5.4.30	lohiwAnmaNO
5.4.31	varNe cAniwye
5.4.32	rakwe
5.4.33	kAlAcca
5.4.34	vinayAxiByaRTak
5.4.35	vAco vyAhqwArWAyAm
5.4.36	waxyukwAw‌ karmaNoZN
5.4.37	oRaXerajAwO
5.4.38	prajFAxiByaSca
5.4.39	mqxaswikan
5.4.40	sasnO praSaMsAyAm
5.4.41	vqkajyeRTAByAM wilwAwilO ca cCanxasi
5.4.42	bahvalpArWAcCas kArakAxanyawarasyAm
5.4.43	saMKyEkavacanAcca vIpsAyAm
5.4.44	prawiyoge paFcamyAswasiH
5.4.45	apAxAne cAhIyaruhoH
5.4.46	awigrahAvyaWanakRepeRvakarwari wqwIyAyAH
5.4.47	hIyamAnapApayogAcca
5.4.48	RaRTyA vyASraye
5.4.49	rogAccApanayane
5.4.50	aBUwawaxBAve kqBvaswiyoge sampaxyakarwari cviH
5.4.51	arurmanaScakRuSceworahorajasAM lopaSca
5.4.52	viBARA sAwi kArwsnye
5.4.53	aBiviXO sampaxA ca
5.4.54	waxaXInavacane
5.4.55	xeye wrA ca
5.4.56	xevamanuRyapuruRamarwyeByo xviwIyAsapwamyorbahulam
5.4.57	avyakwAnukaraNAxxvyajavarArXAxaniwO dAc
5.4.58	kqFo xviwIyawqwIyaSambabIjAw‌ kqRO
5.4.59	saMKyAyASca guNAnwAyAH
5.4.60	samayAcca yApanAyAm
5.4.61	sapawwraniRpawrAxawivyaWane
5.4.62	niRkulAnniRkoRaNe
5.4.63	suKapriyAxAnulomye
5.4.64	xuHKAw‌ prAwilomye
5.4.65	SUlAw‌ pAke
5.4.66	sawyAxaSapaWe
5.4.67	maxrAw‌ parivApaNe
5.4.68	samAsAnwAH
5.4.69	na pUjanAw‌
5.4.70	kimaH kRepe
5.4.71	naFaswawpuruRAw‌
5.4.72	paWo viBARA
5.4.73	bahuvrIhO saMKyeye dajabahugaNAw‌
5.4.74	qkpUrapXUHpaWAmAnakRe
5.4.75	ac‌ prawyanvavapUrvAw‌ sAmalomnaH
5.4.76	akRNoZxarSanAw‌
5.4.77	acawuravicawurasucawuraswrIpuMsaXenvanaduharksAmavAfmanasAkRiBruvaxAragavorvaRTIvapaxaRTIvanakwaMxivarawriMxivAharxivasarajasaniHSreyasapuruRAyuRaxvyAyuRawryAyuRargyajuRajAwokRamahokRavqxXokRopaSunagoRTaSvAH
5.4.78	brahmahaswiByAm varccasaH
5.4.79	avasamanXeByaswamasaH
5.4.80	Svaso vasIyaHSreyasaH
5.4.81	anvavawapwAxrahasaH
5.4.82	prawerurasaH sapwamIsWAw‌
5.4.83	anugavamAyAme
5.4.84	xviswAvA wriswAvA vexiH
5.4.85	upasargAxaXvanaH
5.4.86	wawpuruRasyAfguleH saMKyAZvyayAxeH
5.4.87	ahassarvEkaxeSasaMKyAwapuNyAcca rAwreH
5.4.88	ahnoZhna eweByaH
5.4.89	na saMKyAZZxeH samAhAre
5.4.90	uwwamEkAByAM ca
5.4.91	rAjAZhassaKiByaRtac‌
5.4.92	gorawaxXiwaluki
5.4.93	agrAKyAyAmurasaH
5.4.94	anoZSmAyassarasAm jAwisaMjFayoH
5.4.95	grAmakOtAByAM ca wakRNaH
5.4.96	aweH SunaH
5.4.97	upamAnAxaprANiRu
5.4.98	uwwaramqgapUrvAcca sakWnaH
5.4.99	nAvo xvigoH
5.4.100	arXAcca
5.4.101	KAryAH prAcAm
5.4.102	xviwriByAmaFjaleH
5.4.103	anasanwAnnapuMsakAcCanxasi
5.4.104	brahmaNo jAnapaxAKyAyAm
5.4.105	kumahaxByAmanyawarasyAm‌
5.4.106	xvaMxvAccuxaRahAnwAw samAhAre
5.4.107	avyayIBAve SarawpraBqwiByaH
5.4.108	anaSca
5.4.109	napuMsakAxanyawarasyAm
5.4.110	naxIpOrNamAsyAgrahAyaNIByaH
5.4.111	JayaH
5.4.112	gireSca senakasya
5.4.113	bahuvrIhO sakWyakRNoH svAfgAw‌ Rac
5.4.114	afgulerxAruNi
5.4.115	xviwriByAM Ra mUrXnaH
5.4.116	ap pUraNIpramANyoH
5.4.117	anwarbahirByAM ca lomnaH
5.4.118	aFnAsikAyAH saMjFAyAM nasaM cAsWUlAw‌
5.4.119	upasargAcca
5.4.120	suprAwasuSvasuxivaSArikukRacawuraSrENIpaxAjapaxaproRTapaxAH
5.4.121	naFxuHsuByo halisakWyoranyawarasyAm
5.4.122	niwyamasic prajAmeXayoH
5.4.123	bahuprajASCanxasi
5.4.124	XarmAxanic kevalAw‌
5.4.125	jamBA suhariwawqNasomeByaH
5.4.126	xakRiNermA lubXayoge
5.4.127	ic karmavyawihAre
5.4.128	xvixaNdyAxiByaSca
5.4.129	prasamByAM jAnunorjFuH
5.4.130	UrXvAxviBARA
5.4.131	UXasoZnaf
5.4.132	XanuRaSca
5.4.133	vA saMjFAyAm
5.4.134	jAyAyA nif
5.4.135	ganXasyexuwpUwisusuraBiByaH
5.4.136	alpAKyAyAm
5.4.137	upamAnAcca
5.4.138	pAxasya lopoZhaswyAxiByaH
5.4.139	kumBapaxIRu ca
5.4.140	saMKyAsupUrvasya
5.4.141	vayasi xanwasya xawq
5.4.142	Canxasi ca
5.4.143	swriyAM saMjFAyAm
5.4.144	viBARA SyAvArokAByAm
5.4.145	agrAnwaSuxXaSuBravqRavarAheByaSca
5.4.146	kakuxasyAvasWAyAM lopaH
5.4.147	wrikakuw parvawe
5.4.148	uxviByAM kAkuxasya
5.4.149	pUrNAxviBARA
5.4.150	suhqxxurhqxO miwrAmiwrayoH
5.4.151	uraHpraBqwiByaH kap‌
5.4.152	inaH swriyAm
5.4.153	naxyqwaSca
5.4.154	SeRAxviBARA
5.4.155	na saMjFAyAm
5.4.156	IyasaSca
5.4.157	vanxiwe BrAwuH
5.4.158	qwaSCanxasi
5.4.159	nAdIwanwryoH svAfge
5.4.160	niRpravANiSca
6.1.1	ekAco xve praWamasya
6.1.2	ajAxerxviwIyasya
6.1.3	na nxrAH saMyogAxayaH
6.1.4	pUrvoZByAsaH
6.1.5	uBe aByaswam
6.1.6	jakRiwyAxayaH Rat
6.1.7	wujAxInAM xIrGoZByAsasya
6.1.8	liti XAworanaByAsasya
6.1.9	sanyafoH
6.1.10	SlO
6.1.11	cafi
6.1.12	xASvAn sAhvAn mIDvAMSca
6.1.13	RyafaH samprasAraNaM puwrapawyoswawpuruRe
6.1.14	banXuni bahuvrIhO
6.1.15	vacisvapiyajAxInAM kiwi
6.1.16	grahijyAvayivyaXivaRtivicawivqScawipqcCawiBqjjawInAM fiwi ca
6.1.17	lityaByAsasyoBayeRAm
6.1.18	svApeScafi
6.1.19	svapisyamivyeFAM yafi
6.1.20	na vaSaH
6.1.21	cAyaH kI
6.1.22	sPAyaH sPI niRTAyAm
6.1.23	swyaH prapUrvasya
6.1.24	xravamUrwisparSayoH SyaH
6.1.25	praweSca
6.1.26	viBARAZByavapUrvasya
6.1.27	SqwaM pAke
6.1.28	pyAyaH pI
6.1.29	lidyafoSca
6.1.30	viBARA SveH
6.1.31	NO ca saMScafoH
6.1.32	hvaH samprasAraNam
6.1.33	aByaswasya ca
6.1.34	bahulaM Canxasi
6.1.35	cAyaH kI
6.1.36	apaspqXeWAmAnqcurAnqhuScicyuRewiwyAjaSrAwAHSriwamASIrASIrwwaH
6.1.37	na samprasAraNe samprasAraNam
6.1.38	liti vayo yaH
6.1.39	vaScAsyAnyawarasyAm kiwi
6.1.40	veFaH
6.1.41	lyapi ca
6.1.42	jyaSca
6.1.43	vyaSca
6.1.44	viBARA pareH
6.1.45	Axeca upaxeSeZSiwi
6.1.46	na vyo liti
6.1.47	sPurawisPulawyorGaFi
6.1.48	krIfjInAM NO
6.1.49	siXyawerapAralOkike
6.1.50	mInAwiminowixIfAM lyapi ca
6.1.51	viBARA lIyaweH
6.1.52	KixeSCanxasi
6.1.53	apaguro Namuli
6.1.54	cisPurorNO
6.1.55	prajane vIyaweH
6.1.56	biBewerhewuBaye
6.1.57	niwyaM smayaweH
6.1.58	sqjixqSorJalyamakiwi
6.1.59	anuxAwwasya carxupaXasyAnyawarasyAm
6.1.60	SIrRaMSCanxasi
6.1.61	ye ca waxXiwe
6.1.62	aci SIrRaH
6.1.63	paxxannomAshqnniSasanyURanxoRanyakaFCakannuxannAsaFCaspraBqwiRu
6.1.64	XAwvAxeH RaH saH
6.1.65	No naH
6.1.66	lopo vyorvali
6.1.67	verapqkwasya
6.1.68	halfyAbByo xIrGAw‌ suwisyapqkwaM hal
6.1.69	efhrasvAw‌ sambuxXeH
6.1.70	SeSCanxasi bahulam
6.1.71	hrasvasya piwi kqwi wuk
6.1.72	saMhiwAyAm
6.1.73	Ce ca
6.1.74	AfmAfoSca
6.1.75	xIrGAw‌
6.1.76	paxAnwAxvA
6.1.77	iko yaNaci
6.1.78	ecoZyavAyAvaH
6.1.79	vAnwo yi prawyaye
6.1.80	XAwoswannimiwwasyEva
6.1.81	kRayyajayyO SakyArWe
6.1.82	krayyaswaxarWe
6.1.83	Bayyapravayye ca cCanxasi
6.1.84	ekaH pUrvaparayoH
6.1.85	anwAxivacca
6.1.86	RawvawukorasixXaH
6.1.87	AxguNaH
6.1.88	vqxXireci
6.1.89	ewyeXawyUTsu
6.1.90	AtaSca
6.1.91	upasargAxqwi XAwO
6.1.92	vA supyApiSaleH
6.1.93	OwoZmSasoH
6.1.94	efi pararUpam
6.1.95	omAfoSca
6.1.96	usyapaxAnwAw‌
6.1.97	awo guNe
6.1.98	avyakwAnukaraNasyAwa iwO
6.1.99	nAmrediwasyAnwyasya wu vA
6.1.100	niwyamAmrediwe dAci
6.1.101	akaH savarNe xIrGaH
6.1.102	praWamayoH pUrvasavarNaH
6.1.103	wasmAcCaso naH puMsi
6.1.104	nAxici
6.1.105	xIrGAjjasi ca
6.1.106	vA Canxasi
6.1.107	ami pUrvaH
6.1.108	samprasAraNAcca
6.1.109	efaH paxAnwAxawi
6.1.110	fasifasoSca
6.1.111	qwa uw‌
6.1.112	KyawyAw‌ parasya
6.1.113	awo rorapluwAxapluwe
6.1.114	haSi ca
6.1.115	prakqwyAZnwaHpAxamavyapare
6.1.116	avyAxavaxyAxavakramuravrawAyamavanwvavasyuRu ca
6.1.117	yajuRyuraH
6.1.118	ApojuRANovqRNovarRiRTeZmbeZmbAleZmbikepUrve
6.1.119	afga iwyAxO ca
6.1.120	anuxAwwe ca kuXapare
6.1.121	avapaWAsi ca
6.1.122	sarvawra viBARA goH
6.1.123	avaf sPotAyanasya
6.1.124	inxre ca (niwyam)
6.1.125	pluwapragqhyA aci niwyam
6.1.126	AfoZnunAsikaSCanxasi
6.1.127	ikoZsavarNe SAkalyasya hrasvaSca
6.1.128	qwyakaH
6.1.129	apluwavaxupasWiwe
6.1.130	I3 cAkravarmaNasya
6.1.131	xiva uw‌
6.1.132	ewawwaxoH sulopoZkoranaFsamAse hali
6.1.133	syaSCanxasi bahulam
6.1.134	soZci lope cew‌ pAxapUraNam
6.1.135	sut kAw‌ pUrvaH
6.1.136	adaByAsavyavAyeZpi
6.1.137	samparyupeByaH karowO BURaNe
6.1.138	samavAye ca
6.1.139	upAw‌ prawiyawnavEkqwavAkyAXyAhAreRu
6.1.140	kirawO lavane
6.1.141	hiMsAyAM praweSca
6.1.142	apAccawuRpAcCakuniRvAleKane
6.1.143	kuswumburUNi jAwiH
6.1.144	aparasparAH kriyAsAwawye
6.1.145	goRpaxaM seviwAseviwapramANeRu
6.1.146	AspaxaM prawiRTAyAm‌
6.1.147	AScaryamaniwye
6.1.148	varcaskeZvaskaraH
6.1.149	apaskaro raWAfgam
6.1.150	viRkiraH Sakunirvikaro vA
6.1.151	hrasvAccanxrowwarapaxe manwre
6.1.152	prawiRkaSaSca kaSeH
6.1.153	praskaNvahariScanxrAvqRI
6.1.154	maskaramaskariNO veNuparivrAjakayoH
6.1.155	kAswIrAjaswunxe nagare
6.1.156	kAraskaro vqkRaH
6.1.157	pAraskarapraBqwIni ca saMjFAyAm
6.1.158	anuxAwwaM paxamekavarjam‌
6.1.159	karRAwvawo GaFoZnwa uxAwwaH
6.1.160	uFCAxInAM ca
6.1.161	anuxAwwasya ca yawroxAwwalopaH
6.1.162	XAwoH
6.1.163	ciwaH
6.1.164	waxXiwasya
6.1.165	kiwaH
6.1.166	wisqByo jasaH
6.1.167	cawuraH Sasi
6.1.168	sAvekAcaswqwIyAZZxiviBakwiH
6.1.169	anwoxawwAxuwwarapaxAxanyawarasyAmaniwyasamAse
6.1.170	aFceSCanxasyasarvanAmasWAnam
6.1.171	UdixampaxAxyappumrExyuByaH
6.1.172	aRtano xIrGAw‌
6.1.173	Sawuranumo naxyajAxI
6.1.174	uxAwwayaNo halpUrvAw‌
6.1.175	nofXAwvoH
6.1.176	hrasvanudByAM mawup‌
6.1.177	nAmanyawarasyAm‌
6.1.178	fyASCanxasi bahulam
6.1.179	RatwricawurByo halAxiH
6.1.180	Jalyupowwamam
6.1.181	viBARA BARAyAm
6.1.182	na goSvanwsAvavarNarAdafkrufkqxByaH
6.1.183	xivo Jal
6.1.184	nq cAnyawarasyAm
6.1.185	wiwsvariwam
6.1.186	wAsyanuxAwwenfixaxupaxeSAllasArvaXAwukamanuxAwwamahanvifoH
6.1.187	AxiH sicoZnyawarasyAm
6.1.188	svapAxirhiMsAmacyaniti
6.1.189	aByaswAnAmAxiH
6.1.190	anuxAwwe ca
6.1.191	sarvasya supi
6.1.192	BIhrIBqhumaxajanaXanaxarixrAjAgarAM prawyayAw pUrvam piwi
6.1.193	liwi
6.1.194	AxirNamulyanyawarasyAm
6.1.195	acaH karwqyaki
6.1.196	Wali ca setIdanwo vA
6.1.197	FNiwyAxirniwyam
6.1.198	Amanwriwasya ca
6.1.199	paWimaWoH sarvanAmasWAne
6.1.200	anwaSca wavE yugapaw‌
6.1.201	kRayo nivAse
6.1.202	jayaH karaNam
6.1.203	vqRAxInAM ca
